Unnamed: 0,车站代码,地址,城市,省份,坐标（高德GCJ-02坐标系）
海宁,HNH,浙江省嘉兴市海宁市海宁火车站,嘉兴市,浙江省,"120.685439,30.533541"
惠农,HMJ,宁夏回族自治区石嘴山市惠农区惠农火车站,石嘴山市,宁夏回族自治区,"106.727746,39.262088"
和平,VAQ,广东省河源市和平县和平火车站,河源市,广东省,"114.969272,24.457209"
花棚子,HZM,河南省南阳市桐柏县花棚,南阳市,河南省,"113.098602,32.412769"
花桥,VQH,湖南省永州市东安县花桥镇,永州市,湖南省,"111.448959,26.743195"
宏庆,HEY,,,,
怀仁,HRV,山西省朔州市怀仁县怀仁火车站,朔州市,山西省,"113.094573,39.828540"
华容,HRN,湖南省岳阳市岳阳楼区华容,岳阳市,湖南省,"113.143325,29.376320"
华山北,HDY,山东省济南市历城区华山镇,济南市,山东省,"117.105423,36.740524"
黄松甸,HDL,黑龙江省牡丹江市东宁县黄松,牡丹江市,黑龙江省,"130.564392,44.068775"
和什托洛盖,VSR,新疆维吾尔自治区塔城地区和布克赛尔蒙古自治县和什托洛盖火车站,塔城地区,新疆维吾尔自治区,"86.273788,46.407001"
红山,VSB,内蒙古自治区赤峰市红山区红山,赤峰市,内蒙古自治区,"118.917485,42.327562"
汉寿,VSQ,湖南省常德市汉寿县汉寿火车站,常德市,湖南省,"111.947537,28.769577"
衡山,HSQ,湖南省衡阳市衡东县衡山火车站,衡阳市,湖南省,"112.887693,27.218763"
黑水,HOT,四川省阿坝藏族羌族自治州黑水县黑水,阿坝藏族羌族自治州,四川省,"102.990108,32.061895"
惠山,VCH,江苏省无锡市惠山区惠山火车站,无锡市,江苏省,"120.202213,31.670526"
虎什哈,HHP,内蒙古自治区巴彦淖尔市乌拉特前旗虎什,巴彦淖尔市,内蒙古自治区,"108.615410,40.879677"
红寺堡,HSJ,宁夏回族自治区吴忠市红寺堡区红寺堡,吴忠市,宁夏回族自治区,"106.066577,37.422650"
虎石台,HUT,,,,
海石湾,HSO,甘肃省兰州市红古区海石村,兰州市,甘肃省,"102.884834,36.342602"
衡山西,HEQ,湖南省衡阳市衡山县西火车站,衡阳市,湖南省,"112.789786,27.247449"
红砂岘,VSJ,重庆市秀山土家族苗族自治县红砂,重庆市,重庆市,"108.896683,28.232111"
黑台,HQB,黑龙江省鸡西市密山市黑台镇,鸡西市,黑龙江省,"131.627884,45.416100"
桓台,VTK,山东省淄博市桓台县桓台火车站,淄博市,山东省,"118.123407,36.947157"
和田,VTR,新疆维吾尔自治区和田地区和田市和田火车站,和田地区,新疆维吾尔自治区,"79.906911,37.157920"
